brand,model,vehicleType,gearbox,fuelType,notRepairedDamage,powerPS,kilometer,autoAgeMonths,price
smart,fortwo,kleinwagen,automatik,benzin,nein,71,40000,66,6000
mazda,3_reihe,limousine,manuell,benzin,nein,260,90000,96,10200
audi,tt,cabrio,manuell,benzin,nein,150,150000,179,6990
volkswagen,polo,kleinwagen,manuell,diesel,ja,75,150000,189,700
volkswagen,golf,kombi,manuell,diesel,nein,105,150000,96,5450
volkswagen,golf,kombi,manuell,benzin,nein,116,150000,204,1599
volkswagen,golf,limousine,manuell,diesel,nein,101,150000,160,3009
hyundai,santa,suv,manuell,diesel,ja,125,150000,146,2500
mercedes_benz,sl,cabrio,automatik,benzin,nein,525,60000,91,64999
audi,a4,limousine,manuell,benzin,ja,125,150000,237,500
peugeot,3_reihe,kombi,manuell,diesel,ja,107,150000,143,1650
ford,mondeo,limousine,manuell,benzin,nein,110,40000,144,3000
mercedes_benz,andere,coupe,automatik,diesel,nein,265,90000,54,28900
audi,a1,kleinwagen,manuell,benzin,nein,122,50000,51,13499
mini,cooper,kleinwagen,manuell,benzin,nein,116,125000,168,4950
skoda,superb,limousine,manuell,benzin,nein,150,150000,146,4950
volkswagen,passat,kombi,manuell,benzin,nein,102,150000,179,3800
peugeot,3_reihe,limousine,manuell,benzin,nein,75,150000,250,800
bmw,5er,limousine,automatik,diesel,nein,177,150000,78,17450
volkswagen,transporter,bus,manuell,diesel,nein,105,150000,127,4900
peugeot,2_reihe,kleinwagen,manuell,benzin,nein,73,60000,56,7500
volkswagen,sharan,bus,manuell,benzin,ja,116,150000,234,600
volkswagen,golf,limousine,automatik,benzin,nein,160,70000,80,9999
skoda,fabia,kombi,automatik,benzin,nein,105,100000,62,8750
volkswagen,golf,limousine,manuell,benzin,nein,116,150000,262,999
audi,a5,cabrio,manuell,benzin,nein,160,60000,67,24950
mercedes_benz,a_klasse,limousine,manuell,benzin,nein,125,150000,171,2999
mercedes_benz,gl,suv,automatik,diesel,nein,224,150000,95,18999
audi,a4,kombi,manuell,diesel,nein,170,125000,98,9999
volkswagen,caddy,bus,manuell,diesel,nein,131,150000,115,5000
audi,80,kombi,manuell,diesel,ja,90,150000,267,550
skoda,superb,limousine,automatik,benzin,nein,160,80000,61,12800
ford,fiesta,kleinwagen,manuell,benzin,nein,60,90000,288,499
fiat,punto,kleinwagen,manuell,benzin,ja,60,150000,177,1000
opel,astra,kombi,manuell,benzin,nein,101,150000,260,800
opel,astra,kombi,manuell,diesel,nein,120,5000,100,5000
mercedes_benz,cl,coupe,automatik,diesel,nein,150,150000,128,6500
audi,a3,kombi,automatik,benzin,nein,102,100000,81,10250
volkswagen,golf,limousine,manuell,benzin,nein,75,150000,214,2250
volkswagen,transporter,bus,manuell,diesel,nein,77,150000,288,1250
volkswagen,beetle,limousine,manuell,benzin,nein,102,70000,68,9500
mercedes_benz,clk,cabrio,manuell,benzin,nein,163,125000,118,14500
audi,a6,limousine,automatik,diesel,nein,177,125000,43,24850
opel,corsa,kleinwagen,manuell,benzin,nein,54,150000,199,450
honda,civic,limousine,manuell,benzin,nein,75,150000,243,999
audi,a4,kombi,manuell,benzin,nein,163,150000,142,3000
skoda,fabia,kleinwagen,manuell,benzin,nein,60,80000,165,2400
renault,clio,kleinwagen,manuell,benzin,nein,55,60000,214,950
volkswagen,transporter,bus,manuell,diesel,nein,174,150000,132,13800
opel,agila,kleinwagen,manuell,benzin,nein,86,80000,93,5250
audi,tt,coupe,manuell,benzin,nein,272,100000,93,23500
volkswagen,golf,limousine,manuell,diesel,nein,184,30000,8,31500
volkswagen,beetle,coupe,manuell,benzin,nein,200,40000,35,15900
nissan,micra,kleinwagen,manuell,benzin,nein,80,80000,155,2499
volkswagen,golf,limousine,automatik,benzin,ja,150,150000,218,500
volkswagen,golf,limousine,automatik,benzin,nein,122,40000,71,11499
volkswagen,polo,kleinwagen,manuell,diesel,nein,90,90000,62,9500
ford,mondeo,limousine,manuell,diesel,nein,116,150000,119,2700
audi,a3,kombi,automatik,benzin,nein,160,80000,88,11450
mercedes_benz,c_klasse,kombi,automatik,diesel,nein,224,150000,114,7430
opel,corsa,kleinwagen,manuell,benzin,nein,80,100000,76,5500
citroen,c5,kombi,manuell,diesel,nein,140,80000,55,11450
ford,transit,bus,manuell,diesel,nein,101,150000,140,2590
kia,rio,kleinwagen,manuell,benzin,ja,82,150000,144,790
mercedes_benz,a_klasse,limousine,manuell,diesel,nein,82,125000,126,3040
saab,andere,limousine,manuell,benzin,nein,280,150000,136,9500
opel,corsa,kleinwagen,manuell,benzin,nein,75,125000,143,1990
ford,fiesta,kleinwagen,manuell,benzin,nein,82,125000,90,4900
volkswagen,golf,limousine,manuell,benzin,nein,75,150000,235,1100
audi,tt,cabrio,manuell,diesel,nein,170,90000,84,18900
volkswagen,golf,cabrio,manuell,benzin,nein,90,150000,382,1300
volkswagen,golf,limousine,manuell,diesel,nein,90,150000,203,1299
volkswagen,golf,limousine,automatik,benzin,nein,211,60000,74,19100
fiat,500,cabrio,manuell,diesel,nein,95,90000,65,9200
fiat,panda,kleinwagen,manuell,diesel,nein,69,90000,90,4950
volkswagen,passat,kombi,manuell,benzin,nein,90,150000,257,1200
mercedes_benz,c_klasse,coupe,automatik,diesel,nein,143,150000,176,2199
opel,corsa,kleinwagen,manuell,diesel,nein,125,150000,95,6500
volkswagen,golf,kleinwagen,manuell,benzin,nein,75,150000,259,1250
ford,escort,cabrio,manuell,benzin,nein,116,125000,231,850
volkswagen,golf,limousine,manuell,benzin,nein,60,150000,221,600
opel,tigra,cabrio,manuell,benzin,nein,90,50000,134,3950
smart,fortwo,kleinwagen,automatik,benzin,nein,54,125000,197,1450
opel,vectra,limousine,manuell,benzin,nein,116,125000,196,1450
bmw,3er,limousine,manuell,benzin,nein,105,125000,181,3100
toyota,yaris,kleinwagen,manuell,benzin,nein,86,150000,172,2300
opel,corsa,kleinwagen,automatik,benzin,nein,90,80000,75,7200
ford,focus,kombi,manuell,benzin,nein,106,150000,120,2950
opel,tigra,cabrio,manuell,benzin,nein,90,50000,82,6999
opel,astra,limousine,manuell,diesel,ja,75,150000,181,800
bmw,3er,kombi,automatik,diesel,nein,163,150000,102,10000
volkswagen,golf,limousine,manuell,benzin,nein,116,60000,147,5999
ford,mondeo,kombi,manuell,diesel,nein,163,60000,58,13900
volkswagen,up,kleinwagen,manuell,benzin,nein,75,40000,40,6745
fiat,andere,kleinwagen,manuell,benzin,ja,54,150000,242,250
bmw,5er,limousine,automatik,benzin,ja,286,150000,198,850
fiat,500,bus,manuell,benzin,nein,95,20000,22,13950
volkswagen,transporter,bus,manuell,diesel,nein,86,150000,138,6250
mercedes_benz,e_klasse,cabrio,manuell,benzin,nein,136,70000,240,22500
peugeot,3_reihe,limousine,manuell,benzin,nein,136,125000,157,1950
audi,a6,kombi,manuell,diesel,nein,140,150000,118,7800
bmw,5er,kombi,automatik,diesel,nein,193,150000,180,2500
opel,andere,bus,automatik,benzin,nein,201,150000,214,1800
volkswagen,lupo,kleinwagen,manuell,benzin,nein,60,70000,139,3499
volkswagen,golf,limousine,manuell,benzin,nein,105,150000,153,3500
mercedes_benz,vito,bus,manuell,diesel,ja,100,90000,46,11500
fiat,stilo,limousine,manuell,benzin,nein,80,70000,169,2490
mazda,andere,bus,manuell,lpg,nein,194,150000,155,1999
volkswagen,polo,kleinwagen,manuell,benzin,nein,70,150000,192,1800
land_rover,freelander,suv,manuell,diesel,nein,111,150000,143,5850
volkswagen,up,kleinwagen,manuell,benzin,nein,60,50000,40,6299
skoda,octavia,kombi,manuell,benzin,nein,160,90000,70,11000
volkswagen,golf,limousine,manuell,benzin,nein,105,80000,150,3999
volkswagen,golf,bus,manuell,diesel,nein,105,90000,118,7700
opel,astra,kombi,manuell,benzin,nein,105,150000,120,3900
mercedes_benz,vito,bus,manuell,diesel,nein,150,150000,149,5255
volkswagen,passat,kombi,manuell,diesel,nein,140,150000,114,5870
audi,a3,limousine,manuell,benzin,nein,265,150000,92,16900
volkswagen,golf,andere,manuell,benzin,nein,116,150000,250,1850
renault,clio,coupe,manuell,benzin,nein,54,125000,229,1500
volkswagen,golf,limousine,manuell,benzin,nein,80,50000,81,8690
mercedes_benz,a_klasse,limousine,manuell,diesel,nein,95,150000,150,1950
toyota,corolla,limousine,manuell,benzin,nein,86,150000,216,2100
mazda,6_reihe,kombi,manuell,diesel,nein,121,150000,142,1800
ford,andere,kombi,manuell,diesel,nein,110,90000,85,7000
volkswagen,eos,cabrio,manuell,diesel,nein,140,70000,92,12500
audi,a3,cabrio,manuell,benzin,nein,160,125000,90,13100
ford,andere,coupe,manuell,benzin,nein,147,150000,301,1
bmw,3er,kombi,manuell,diesel,nein,116,150000,49,9800
mercedes_benz,c_klasse,kombi,automatik,diesel,nein,143,150000,154,2600
volkswagen,polo,kleinwagen,manuell,benzin,nein,80,60000,87,7999
ford,focus,kombi,manuell,diesel,nein,75,150000,153,1200
porsche,boxster,cabrio,automatik,benzin,nein,280,70000,128,6550
toyota,corolla,kombi,manuell,diesel,nein,116,150000,137,4750
volkswagen,golf,limousine,manuell,diesel,nein,140,150000,142,4200
daihatsu,cuore,kleinwagen,manuell,benzin,nein,54,125000,196,369
volkswagen,golf,limousine,manuell,benzin,nein,160,80000,84,8950
renault,espace,bus,manuell,diesel,nein,150,150000,132,2000
bmw,3er,kombi,manuell,diesel,nein,163,150000,115,7500
volkswagen,fox,kleinwagen,manuell,benzin,nein,54,70000,120,3000
mercedes_benz,e_klasse,coupe,automatik,benzin,nein,150,150000,251,4444
toyota,andere,cabrio,manuell,benzin,nein,90,150000,409,8850
mercedes_benz,c_klasse,limousine,automatik,diesel,nein,150,150000,109,5990
audi,a3,limousine,manuell,benzin,nein,265,150000,110,14000
audi,a4,limousine,manuell,benzin,nein,131,125000,176,3200
volkswagen,golf,limousine,manuell,benzin,nein,90,125000,290,1550
audi,a4,limousine,manuell,diesel,nein,143,150000,73,9999
renault,scenic,kombi,manuell,benzin,nein,86,150000,207,790
opel,zafira,bus,manuell,benzin,nein,125,150000,193,1790
kia,picanto,kleinwagen,manuell,benzin,nein,65,150000,132,1800
bmw,5er,limousine,automatik,diesel,nein,184,125000,62,12800
opel,astra,limousine,manuell,benzin,nein,116,125000,60,6700
ford,s_max,bus,manuell,diesel,nein,140,150000,108,6750
renault,clio,kleinwagen,automatik,benzin,nein,98,80000,173,2999
volkswagen,golf,limousine,manuell,diesel,nein,105,150000,124,4800
seat,leon,limousine,manuell,benzin,nein,105,150000,156,2999
mercedes_benz,vito,bus,manuell,diesel,nein,136,100000,47,21995
seat,ibiza,kleinwagen,manuell,diesel,ja,110,150000,200,1250
opel,corsa,kleinwagen,automatik,benzin,nein,60,40000,125,4350
opel,astra,limousine,manuell,benzin,nein,75,150000,214,1000
bmw,5er,kombi,manuell,diesel,nein,218,150000,141,6800
volkswagen,golf,kleinwagen,manuell,benzin,nein,105,50000,165,4500
seat,altea,bus,automatik,diesel,nein,140,150000,132,5250
opel,corsa,limousine,automatik,benzin,ja,75,150000,180,950
bmw,3er,kombi,automatik,benzin,nein,258,125000,126,12500
mercedes_benz,c_klasse,limousine,automatik,benzin,nein,122,150000,231,950
ford,mondeo,kombi,manuell,benzin,nein,116,150000,208,570
mercedes_benz,vito,bus,automatik,diesel,nein,150,150000,138,3310
volkswagen,golf,limousine,manuell,diesel,nein,184,70000,25,25000
volkswagen,touran,bus,automatik,diesel,nein,140,150000,116,3400
mercedes_benz,sl,cabrio,automatik,benzin,nein,394,100000,249,26900
nissan,micra,kleinwagen,manuell,benzin,ja,82,150000,179,549
ford,ka,kleinwagen,manuell,benzin,nein,69,70000,88,4290
dacia,logan,limousine,manuell,benzin,nein,75,90000,112,2149
opel,zafira,bus,manuell,benzin,nein,101,150000,202,999
mini,cooper,kleinwagen,manuell,benzin,nein,192,125000,157,7400
mercedes_benz,slk,cabrio,automatik,benzin,nein,218,150000,191,8290
bmw,3er,limousine,automatik,benzin,nein,77,150000,200,2370
audi,a3,limousine,manuell,benzin,nein,102,80000,153,5999
honda,civic,kleinwagen,manuell,benzin,ja,75,90000,244,500
ford,focus,kombi,manuell,benzin,nein,125,20000,11,19900
bmw,5er,limousine,automatik,diesel,nein,272,150000,120,11900
renault,scenic,bus,manuell,diesel,nein,131,150000,121,3800
volkswagen,golf,cabrio,manuell,benzin,nein,101,150000,232,1500
opel,astra,cabrio,manuell,benzin,nein,150,150000,169,2500
renault,twingo,kleinwagen,manuell,benzin,nein,76,150000,94,3450
fiat,bravo,limousine,manuell,benzin,nein,80,150000,214,500
audi,a3,limousine,manuell,benzin,nein,102,125000,101,5900
jeep,andere,suv,automatik,diesel,ja,218,150000,121,3600
mercedes_benz,b_klasse,bus,manuell,diesel,nein,140,150000,94,10700
audi,a6,limousine,automatik,benzin,nein,165,150000,198,2500
mitsubishi,andere,coupe,manuell,benzin,ja,150,150000,272,850
bmw,5er,limousine,automatik,diesel,nein,177,125000,125,12900
audi,a3,limousine,automatik,diesel,nein,105,125000,87,12700
renault,megane,kombi,manuell,diesel,nein,110,150000,120,3400
mercedes_benz,a_klasse,kleinwagen,manuell,benzin,nein,102,150000,174,1650
mercedes_benz,sprinter,bus,manuell,diesel,nein,163,100000,47,16250
mercedes_benz,slk,cabrio,manuell,benzin,nein,193,150000,223,4550
ford,focus,limousine,manuell,benzin,nein,116,150000,168,3000
volkswagen,bora,limousine,manuell,diesel,nein,90,150000,206,1750
renault,scenic,limousine,manuell,benzin,nein,109,150000,204,700
opel,corsa,kleinwagen,manuell,benzin,nein,58,125000,167,1650
volkswagen,golf,kombi,manuell,benzin,ja,101,150000,252,900
bmw,5er,limousine,automatik,diesel,nein,218,80000,143,11500
renault,kangoo,andere,manuell,diesel,nein,55,150000,189,1000
mercedes_benz,e_klasse,limousine,automatik,diesel,nein,177,150000,162,5599
seat,ibiza,kleinwagen,manuell,benzin,nein,60,150000,212,900
mercedes_benz,vito,kombi,manuell,diesel,nein,116,150000,106,9980
renault,espace,bus,manuell,diesel,nein,150,150000,70,8900
opel,omega,kombi,manuell,benzin,ja,144,150000,193,1200
audi,a3,kombi,manuell,diesel,nein,140,150000,131,6900
fiat,andere,kleinwagen,manuell,benzin,nein,60,60000,34,5999
renault,scenic,bus,manuell,benzin,nein,111,50000,96,5900
audi,a6,limousine,automatik,benzin,ja,193,125000,188,2100
audi,a3,kombi,automatik,benzin,nein,125,150000,87,9490
volkswagen,passat,kombi,manuell,diesel,nein,140,100000,72,10999
volkswagen,polo,kleinwagen,manuell,diesel,nein,90,125000,61,7999
volkswagen,polo,kleinwagen,manuell,benzin,nein,60,100000,183,2400
jaguar,x_type,kombi,manuell,diesel,nein,145,150000,100,7750
ford,mondeo,kombi,automatik,diesel,nein,163,150000,50,10500
mercedes_benz,clk,coupe,automatik,benzin,nein,218,150000,177,5800
renault,megane,coupe,manuell,diesel,nein,131,125000,69,8490
mercedes_benz,e_klasse,kombi,automatik,diesel,ja,129,150000,214,699
audi,tt,coupe,manuell,benzin,nein,179,150000,202,3500
volkswagen,golf,kombi,manuell,benzin,nein,90,150000,246,500
bmw,andere,kombi,manuell,benzin,nein,136,5000,3,25900
peugeot,2_reihe,kleinwagen,manuell,benzin,nein,60,150000,206,1199
land_rover,defender,suv,manuell,diesel,nein,94,40000,433,10000
volkswagen,golf,limousine,manuell,diesel,nein,105,150000,116,2655
ford,transit,bus,manuell,diesel,nein,75,150000,99,1750
volkswagen,golf,kombi,manuell,benzin,nein,77,150000,162,1999
volkswagen,golf,limousine,automatik,benzin,nein,211,70000,45,17500
bmw,5er,limousine,manuell,benzin,ja,150,150000,234,650
mercedes_benz,c_klasse,coupe,automatik,benzin,nein,143,125000,121,7800
bmw,3er,limousine,manuell,benzin,nein,143,150000,164,2990
mazda,mx_reihe,cabrio,manuell,benzin,nein,110,125000,170,3600
opel,meriva,bus,manuell,benzin,nein,105,20000,78,7200
volkswagen,golf,limousine,manuell,benzin,nein,150,150000,115,4800
toyota,aygo,kleinwagen,manuell,benzin,ja,68,50000,82,3950
renault,laguna,kombi,manuell,diesel,nein,120,150000,157,890
fiat,panda,kleinwagen,manuell,benzin,nein,69,40000,25,5999
volkswagen,transporter,bus,manuell,diesel,nein,102,125000,78,12800
audi,a6,kombi,automatik,diesel,nein,190,150000,86,16700
opel,astra,limousine,manuell,benzin,nein,101,60000,213,2200
alfa_romeo,andere,limousine,manuell,diesel,nein,185,150000,111,3900
honda,andere,limousine,automatik,hybrid,nein,88,100000,77,5000
mitsubishi,carisma,limousine,automatik,benzin,nein,125,150000,212,570
volkswagen,beetle,limousine,manuell,benzin,nein,75,125000,155,4999
nissan,micra,kleinwagen,manuell,benzin,nein,54,125000,205,1150
volkswagen,jetta,limousine,manuell,benzin,ja,94,150000,315,600
seat,leon,limousine,manuell,benzin,nein,75,100000,164,2850
bmw,3er,limousine,manuell,benzin,nein,118,20000,194,2800
opel,astra,kombi,manuell,benzin,nein,140,30000,47,11990
audi,andere,coupe,automatik,benzin,nein,150,150000,276,3150
bmw,3er,limousine,manuell,benzin,nein,122,150000,371,7500
bmw,3er,kombi,manuell,diesel,nein,120,150000,154,3999
seat,ibiza,kleinwagen,manuell,benzin,nein,86,70000,81,7390
volkswagen,polo,coupe,manuell,benzin,nein,55,150000,292,1000
jaguar,andere,limousine,automatik,benzin,nein,363,150000,208,9999
audi,a3,kombi,automatik,diesel,nein,140,150000,130,8900
peugeot,3_reihe,kombi,manuell,benzin,nein,88,150000,221,600
audi,a4,kombi,automatik,benzin,nein,163,125000,124,8500
audi,a6,limousine,automatik,benzin,nein,220,20000,144,6699
bmw,5er,limousine,automatik,benzin,nein,192,150000,138,7800
suzuki,grand,suv,manuell,diesel,ja,109,150000,136,3000
mini,cooper,kleinwagen,manuell,benzin,nein,120,125000,106,6300
renault,twingo,kleinwagen,manuell,benzin,nein,58,150000,172,1350
nissan,andere,suv,automatik,benzin,nein,150,150000,221,3000
mercedes_benz,m_klasse,suv,automatik,diesel,nein,224,150000,128,10500
bmw,5er,limousine,manuell,diesel,nein,177,150000,126,5900
renault,clio,kleinwagen,manuell,benzin,ja,58,150000,165,790
volkswagen,transporter,bus,manuell,diesel,nein,102,150000,200,1500
audi,a4,limousine,manuell,diesel,nein,170,150000,178,3500
bmw,3er,limousine,manuell,diesel,ja,115,125000,259,1000
mercedes_benz,andere,limousine,manuell,diesel,nein,113,150000,312,5950
volkswagen,golf,limousine,automatik,benzin,nein,102,80000,172,2950
hyundai,i_reihe,kleinwagen,manuell,benzin,nein,77,50000,63,4850
audi,a3,limousine,manuell,diesel,nein,105,50000,33,18247
mercedes_benz,c_klasse,limousine,automatik,diesel,nein,150,150000,139,6500
volkswagen,golf,kleinwagen,manuell,benzin,nein,105,150000,192,1300
mercedes_benz,e_klasse,kombi,automatik,diesel,nein,190,150000,122,8800
bmw,3er,limousine,manuell,benzin,nein,102,150000,251,1500
volkswagen,passat,kombi,manuell,diesel,nein,105,150000,59,8900
peugeot,1_reihe,kleinwagen,manuell,benzin,nein,68,125000,94,2600
volkswagen,polo,kleinwagen,manuell,benzin,nein,60,150000,226,850
volkswagen,golf,kleinwagen,manuell,benzin,nein,101,150000,216,2000
audi,andere,coupe,manuell,benzin,nein,300,125000,216,5900
mercedes_benz,c_klasse,limousine,automatik,diesel,nein,150,90000,126,10490
opel,zafira,kombi,manuell,diesel,nein,101,150000,170,2800
audi,a3,kombi,manuell,benzin,nein,102,150000,125,6900
volkswagen,golf,limousine,manuell,benzin,nein,75,150000,192,1850
volkswagen,passat,kombi,manuell,diesel,nein,131,150000,185,3200
hyundai,getz,kleinwagen,manuell,benzin,nein,86,125000,142,2690
dacia,logan,kombi,manuell,benzin,nein,87,150000,107,1799
mercedes_benz,e_klasse,kombi,automatik,diesel,nein,197,150000,177,1700
ford,focus,kombi,manuell,diesel,ja,136,150000,130,2500
volkswagen,polo,kleinwagen,manuell,benzin,nein,80,70000,113,5000
bmw,5er,kombi,automatik,benzin,nein,150,150000,246,2499
nissan,andere,kleinwagen,manuell,benzin,nein,68,80000,80,3500
renault,clio,kleinwagen,manuell,benzin,nein,75,80000,115,3100
audi,a3,limousine,manuell,benzin,nein,150,150000,226,2000
lada,kalina,limousine,manuell,benzin,nein,90,30000,82,3000
alfa_romeo,andere,coupe,manuell,benzin,ja,166,150000,135,1500
mini,cooper,kleinwagen,manuell,benzin,nein,174,125000,87,9999
smart,fortwo,kleinwagen,automatik,benzin,nein,61,90000,129,2689
mercedes_benz,e_klasse,kombi,automatik,diesel,nein,170,150000,118,6500
bmw,z_reihe,cabrio,manuell,benzin,nein,116,150000,214,5500
seat,ibiza,kleinwagen,manuell,diesel,nein,75,60000,55,8400
smart,forfour,kleinwagen,manuell,benzin,nein,75,90000,133,2799
seat,exeo,kombi,manuell,diesel,nein,143,90000,68,12500
chrysler,grand,bus,automatik,diesel,nein,150,150000,129,3999
fiat,andere,kombi,manuell,benzin,ja,73,150000,201,1100
citroen,c2,kleinwagen,manuell,benzin,nein,73,80000,78,4200
volkswagen,golf,limousine,manuell,benzin,ja,75,150000,243,500
jeep,grand,suv,automatik,lpg,nein,184,150000,263,2650
volkswagen,passat,kombi,automatik,diesel,ja,170,150000,119,3700
smart,fortwo,kleinwagen,automatik,benzin,nein,71,60000,91,3900
bmw,7er,limousine,automatik,diesel,nein,245,150000,83,19500
peugeot,2_reihe,kleinwagen,manuell,benzin,ja,60,150000,182,690
renault,megane,coupe,manuell,benzin,nein,179,150000,83,6299
volkswagen,passat,kombi,manuell,benzin,nein,122,60000,58,13500
ford,focus,limousine,manuell,benzin,ja,101,150000,184,990
volkswagen,golf,cabrio,manuell,benzin,ja,90,150000,225,600
subaru,justy,kleinwagen,manuell,benzin,nein,86,150000,161,400
mercedes_benz,a_klasse,limousine,manuell,diesel,nein,90,125000,188,1490
mercedes_benz,e_klasse,kombi,automatik,diesel,ja,170,150000,168,1300
renault,twingo,kleinwagen,automatik,benzin,nein,75,100000,173,2190
bmw,x_reihe,limousine,manuell,diesel,nein,150,150000,116,9999
renault,andere,kombi,manuell,diesel,nein,145,70000,71,16750
bmw,3er,limousine,automatik,diesel,nein,143,30000,6,30500
bmw,m_reihe,coupe,automatik,benzin,nein,343,150000,140,13000
mercedes_benz,c_klasse,kombi,automatik,diesel,nein,116,150000,178,2950
mercedes_benz,e_klasse,limousine,manuell,diesel,nein,150,150000,169,6450
volkswagen,passat,kombi,manuell,benzin,nein,101,150000,222,500
mercedes_benz,sl,cabrio,manuell,benzin,ja,190,150000,310,12700
bmw,3er,limousine,manuell,benzin,nein,116,150000,175,1500
mercedes_benz,viano,bus,automatik,diesel,nein,204,150000,116,26000
volvo,v40,kombi,automatik,benzin,nein,122,150000,184,1200
bmw,3er,kombi,automatik,diesel,nein,204,150000,142,6999
bmw,3er,limousine,manuell,benzin,nein,172,150000,187,3650
volkswagen,golf,kombi,manuell,diesel,nein,101,150000,119,4500
volkswagen,caddy,bus,manuell,diesel,nein,105,150000,107,6990
mercedes_benz,c_klasse,limousine,manuell,benzin,nein,122,150000,264,1400
volkswagen,golf,kleinwagen,manuell,benzin,nein,122,20000,24,14500
audi,q5,suv,automatik,diesel,nein,239,80000,55,31900
toyota,verso,bus,automatik,benzin,nein,129,125000,135,4100
bmw,3er,limousine,manuell,benzin,nein,150,150000,127,8700
volkswagen,passat,kombi,manuell,benzin,nein,160,125000,55,16900
ford,transit,andere,manuell,diesel,nein,90,150000,130,3300
mercedes_benz,a_klasse,limousine,automatik,diesel,ja,109,125000,110,5700
volvo,andere,kombi,manuell,benzin,nein,135,150000,245,4250
volkswagen,golf,kleinwagen,manuell,benzin,nein,110,100000,158,3600
bmw,1er,limousine,manuell,diesel,nein,116,150000,79,11000
volkswagen,polo,kleinwagen,manuell,benzin,nein,54,125000,117,4300
bmw,5er,limousine,automatik,diesel,nein,218,150000,136,8600
mercedes_benz,viano,bus,automatik,diesel,nein,150,150000,94,13300
bmw,5er,limousine,manuell,diesel,nein,235,150000,96,9450
bmw,3er,coupe,manuell,benzin,ja,140,150000,243,800
bmw,3er,limousine,manuell,diesel,nein,163,150000,120,7900
opel,astra,limousine,manuell,benzin,nein,90,125000,84,6700
nissan,micra,kleinwagen,automatik,benzin,nein,60,125000,256,998
volkswagen,golf,limousine,manuell,benzin,nein,105,70000,75,8500
renault,twingo,kleinwagen,manuell,benzin,ja,58,150000,170,400
alfa_romeo,andere,coupe,manuell,diesel,nein,150,150000,117,5600
volkswagen,transporter,bus,manuell,diesel,nein,102,150000,239,6750
bmw,1er,cabrio,manuell,diesel,nein,204,125000,85,16500
bmw,3er,cabrio,manuell,benzin,nein,150,150000,254,3800
ford,c_max,bus,automatik,benzin,nein,150,5000,1,25490
volkswagen,passat,kombi,automatik,diesel,ja,170,150000,121,10399
mazda,mx_reihe,cabrio,manuell,benzin,nein,116,150000,297,6950
bmw,x_reihe,limousine,manuell,diesel,nein,184,40000,37,34800
fiat,panda,kleinwagen,manuell,benzin,nein,54,150000,131,2600
chrysler,andere,cabrio,manuell,benzin,nein,133,150000,212,1000
volkswagen,transporter,andere,manuell,diesel,nein,130,150000,127,7999
volkswagen,beetle,limousine,manuell,benzin,nein,116,150000,202,3900
suzuki,andere,limousine,manuell,benzin,nein,65,150000,217,900
volkswagen,sharan,bus,automatik,diesel,nein,170,150000,59,20499
toyota,andere,suv,manuell,diesel,nein,131,150000,296,18800
opel,astra,coupe,manuell,benzin,nein,75,150000,232,290
bmw,5er,limousine,automatik,diesel,nein,184,50000,47,25500
hyundai,i_reihe,kombi,manuell,lpg,nein,177,70000,45,13950
ford,transit,bus,manuell,diesel,nein,75,150000,178,2499
audi,a1,kleinwagen,automatik,benzin,nein,185,20000,15,22450
audi,80,limousine,manuell,benzin,nein,90,50000,267,3500
mazda,andere,bus,manuell,benzin,nein,101,150000,172,1190
volkswagen,passat,kombi,manuell,diesel,nein,150,150000,190,3500
ford,focus,limousine,manuell,benzin,nein,116,150000,138,999
mercedes_benz,slk,cabrio,automatik,benzin,nein,184,50000,46,23500
kia,andere,bus,manuell,benzin,nein,90,60000,58,7800
volkswagen,golf,kombi,manuell,benzin,nein,60,150000,249,900
volkswagen,golf,limousine,manuell,benzin,nein,115,150000,262,850
volkswagen,jetta,limousine,manuell,benzin,nein,70,150000,307,1599
volkswagen,golf,kombi,manuell,diesel,ja,90,125000,253,550
opel,calibra,coupe,manuell,benzin,nein,150,90000,276,2500
bmw,3er,cabrio,manuell,benzin,nein,231,150000,175,6850
volkswagen,scirocco,coupe,manuell,benzin,nein,95,125000,474,6000
renault,clio,kombi,manuell,benzin,nein,101,80000,60,7650
seat,cordoba,kombi,manuell,benzin,nein,75,150000,193,590
fiat,stilo,limousine,manuell,benzin,nein,103,125000,168,790
bmw,5er,limousine,automatik,diesel,nein,177,150000,137,7500
volkswagen,transporter,bus,manuell,diesel,nein,140,50000,37,63000
citroen,c3,cabrio,automatik,benzin,nein,109,80000,135,4500
volkswagen,golf,limousine,manuell,diesel,nein,90,150000,142,4290
opel,astra,limousine,manuell,benzin,nein,84,150000,156,1299
opel,astra,kombi,manuell,benzin,ja,75,150000,243,300
volkswagen,passat,kombi,automatik,diesel,nein,170,125000,40,16900
mercedes_benz,e_klasse,limousine,automatik,diesel,nein,150,150000,151,4990
mercedes_benz,c_klasse,limousine,automatik,benzin,nein,122,150000,236,1190
skoda,octavia,kombi,automatik,diesel,nein,170,150000,80,11500
volkswagen,touran,bus,automatik,diesel,nein,140,125000,47,17500
mercedes_benz,sl,cabrio,automatik,benzin,nein,231,150000,333,38950
skoda,octavia,limousine,manuell,benzin,nein,150,150000,200,1599
bmw,5er,kombi,automatik,diesel,nein,193,150000,185,2300
